7	5	3	1
7	5	3	1
7	5	3	1
7	5	3	1
7	5	3	1
7	5	3	1
7	5	3	1
7	5	3	1
7	5	3	1
7	5	3	1
7	5	3	1
7	5	3	1
7	5	3	1
7	5	3	1
7	5	3	1
7	5	3	1
7	5	3	1
7	5	3	1
7	5	3	1
7	5	3	1
7	5	3	1
7	5	3	1
7	5	3	1
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
6	8	0	2
